fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.025011,1.20189,1.93283,0.172419,12.6645,8.45309,13.1004,0.014314,
0.018729,0.996152,1.96712,0.172287,15.6974,12.8575,8.85657,0.010087,
0.019038,1.04521,2.0325,0.173261,12.1305,15.8914,12.5795,0.010885,
0.018224,1.01986,1.98263,0.171874,8.15062,12.3224,12.5031,0.011413,
0.024234,1.00077,1.98767,0.17247,8.28125,8.34965,8.98256,0.014739,
0.024256,0.992547,1.97472,0.180458,8.29704,8.48781,8.95025,0.015713,
0.018075,1.03463,1.98797,0.173404,8.2916,8.49033,9.02365,0.010288,
0.022735,1.01273,1.97965,0.173742,8.28162,8.48984,13.3115,0.010387,
0.018059,0.976858,1.97266,0.173036,8.23323,8.47492,12.7194,0.01033,
0.019005,1.00483,1.96765,0.171138,8.29383,8.42821,12.7026,0.012692,
0.018099,1.04652,2.02335,0.176542,8.272,8.49025,9.03045,0.010658,
0.018474,1.00321,1.96357,0.170761,11.9116,8.46299,13.4364,0.0107,
0.020047,1.27606,2.49909,0.186376,8.19477,12.1203,16.4675,0.014001,
0.019105,1.00642,1.9926,0.169724,12.2602,8.38582,12.887,0.010813,
0.026869,1.04448,2.02149,0.171641,8.1428,12.4607,8.92269,0.015058,
0.026404,1.1901,1.96858,0.167346,11.7202,8.3385,9.06984,0.014578,
0.02677,1.01856,1.99542,0.170986,15.4949,11.9201,9.05719,0.028619,
0.029574,1.00117,1.98946,0.172484,8.04501,15.6988,9.06034,0.023812,
0.019021,1.30244,2.04955,0.162504,11.5532,8.22822,9.04601,0.012501,
0.019167,1.0024,1.98761,0.163179,11.3447,11.7373,8.99346,0.010578,
0.019758,1.47104,2.01857,0.165408,7.8484,11.5322,9.06764,0.011819,
0.020528,0.99729,1.99202,0.160318,11.2087,8.03094,9.04843,0.011492,
0.02044,1.05107,2.03304,0.165546,7.56554,11.3966,12.6957,0.020044,
0.019742,1.30741,2.45863,0.162941,11.0243,7.75014,8.94894,0.010756,
0.027726,1.19989,1.9667,0.164671,11.0188,11.2194,13.0234,0.011815,
0.020358,1.29391,2.46055,0.156472,14.2989,11.1975,8.89826,0.011132,
0.020363,1.31695,1.97203,0.15649,10.8731,14.4776,12.4946,0.012428,
0.020663,1.51567,1.94465,0.153156,11.6519,11.0488,16.2604,0.010717,
0.02133,1.16153,1.95505,0.154409,7.54399,11.8297,8.77957,0.017043,
0.031164,1.16283,1.91492,0.15231,7.55709,7.72978,12.2847,0.017868,
0.028077,1.01396,2.01861,0.154453,7.55515,7.7416,12.0701,0.029719,
0.020753,1.33884,2.40231,0.152813,7.67045,7.73081,8.56488,0.06468,
0.020698,1.15294,1.84701,0.160284,7.53414,7.85375,11.934,0.061389,
0.020614,0.996021,1.86387,0.15277,10.886,7.70994,8.27217,0.011178,
0.021049,1.04509,1.90434,0.154563,7.58473,11.0635,11.749,0.012561,
0.020257,1.29916,2.28714,0.154965,7.57542,7.76193,11.7201,0.010876,
0.019965,1.30244,2.28127,0.15185,7.4903,7.74911,14.9986,0.011046,
0.022009,1.30764,2.2514,0.153497,10.9275,7.66816,11.5612,0.012324,
0.020887,1.3191,2.28437,0.153303,10.8868,11.1036,12.3518,0.012836,
0.02083,1.29525,2.24186,0.153801,11.0763,11.0635,8.25104,0.016261,
0.022781,0.997461,1.98136,0.158916,7.54304,11.2601,8.27475,0.014577,
0.02097,1.0298,1.81543,0.153429,8.39904,7.71898,8.29513,0.012038,
0.020269,0.995381,1.84923,0.161359,10.8855,8.58275,8.42216,0.012215,
0.020516,0.996335,1.84608,0.152643,7.63735,11.0606,8.23011,0.010915,
0.021057,1.01604,1.85901,0.152997,7.6904,7.81334,11.5851,0.012393,
0.021463,1.01436,1.86852,0.154307,17.9746,7.8682,8.28055,0.06261,
